ATM_Name,TransactionDate,NoOfWithdrawals,TotalAmtWithdrawn,Weekday,WorkingDay,BranchID
Genesee Street ATM,2016-03-01,48,249000,TUESDAY,W,
Hollywood Aveneue ATM,2016-03-01,177,979600,TUESDAY,W,
Kingsley Street ATM,2016-03-01,109,514300,TUESDAY,W,
Georgia Street ATM,2016-03-02,97,402900,WEDNESDAY,W,
Main Street ATM,2016-03-02,98,446200,WEDNESDAY,W,
Genesee Street ATM,2016-03-02,71,215100,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-03-02,180,1194400,WEDNESDAY,W,
Kingsley Street ATM,2016-03-02,61,279800,WEDNESDAY,W,
Main Street ATM,2016-03-03,52,324900,THURSDAY,W,
Genesee Street ATM,2016-03-03,85,443800,THURSDAY,W,
Hollywood Aveneue ATM,2016-03-03,97,737000,THURSDAY,W,
Kingsley Street ATM,2016-03-03,137,742200,THURSDAY,W,
Georgia Street ATM,2016-03-04,113,345000,FRIDAY,W,
Main Street ATM,2016-03-04,106,462700,FRIDAY,W,
Genesee Street ATM,2016-03-04,73,348600,FRIDAY,W,
Hollywood Aveneue ATM,2016-03-04,184,977200,FRIDAY,W,
Kingsley Street ATM,2016-03-04,135,800300,FRIDAY,W,
Georgia Street ATM,2016-03-05,168,628700,SATURDAY,H,
Main Street ATM,2016-03-05,82,369200,SATURDAY,H,
Genesee Street ATM,2016-03-05,100,583000,SATURDAY,H,
Hollywood Aveneue ATM,2016-03-05,135,867000,SATURDAY,H,
Kingsley Street ATM,2016-03-05,150,963200,SATURDAY,H,
Georgia Street ATM,2016-03-06,156,594300,SUNDAY,H,
Main Street ATM,2016-03-06,120,444100,SUNDAY,H,
Genesee Street ATM,2016-03-06,79,489400,SUNDAY,H,
Hollywood Aveneue ATM,2016-03-06,110,388400,SUNDAY,H,
Kingsley Street ATM,2016-03-06,119,421000,SUNDAY,H,
Georgia Street ATM,2016-03-07,134,415300,MONDAY,W,
Main Street ATM,2016-03-07,8,29800,MONDAY,W,
Genesee Street ATM,2016-03-07,110,699100,MONDAY,W,
Hollywood Aveneue ATM,2016-03-07,48,149500,MONDAY,W,
Kingsley Street ATM,2016-03-07,202,876700,MONDAY,W,
Georgia Street ATM,2016-03-08,109,479400,TUESDAY,W,
Main Street ATM,2016-03-08,32,120000,TUESDAY,W,
Genesee Street ATM,2016-03-08,57,355300,TUESDAY,W,
Hollywood Aveneue ATM,2016-03-08,115,784200,TUESDAY,W,
Kingsley Street ATM,2016-03-08,146,628200,TUESDAY,W,
Georgia Street ATM,2016-03-09,152,569100,WEDNESDAY,W,
Main Street ATM,2016-03-09,39,129100,WEDNESDAY,W,
Genesee Street ATM,2016-03-09,75,523600,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-03-09,56,365600,WEDNESDAY,W,
Kingsley Street ATM,2016-03-09,158,814800,WEDNESDAY,W,
Georgia Street ATM,2016-03-10,171,926100,THURSDAY,W,
Main Street ATM,2016-03-10,33,108500,THURSDAY,W,
Genesee Street ATM,2016-03-10,54,408900,THURSDAY,W,
Kingsley Street ATM,2016-03-10,140,760900,THURSDAY,W,
Georgia Street ATM,2016-03-11,161,567600,FRIDAY,W,
Genesee Street ATM,2016-03-11,78,468000,FRIDAY,W,
Hollywood Aveneue ATM,2016-03-11,70,690800,FRIDAY,W,
Kingsley Street ATM,2016-03-11,141,590300,FRIDAY,W,
Georgia Street ATM,2016-03-12,165,545500,SATURDAY,H,
Main Street ATM,2016-03-12,46,122500,SATURDAY,H,
Genesee Street ATM,2016-03-12,111,566600,SATURDAY,H,
Hollywood Aveneue ATM,2016-03-12,145,702100,SATURDAY,H,
Kingsley Street ATM,2016-03-12,161,780100,SATURDAY,H,
Georgia Street ATM,2016-03-13,152,493800,SUNDAY,H,
Main Street ATM,2016-03-13,111,281500,SUNDAY,H,
Genesee Street ATM,2016-03-13,46,268300,SUNDAY,H,
Hollywood Aveneue ATM,2016-03-13,155,834400,SUNDAY,H,
Kingsley Street ATM,2016-03-13,134,513300,SUNDAY,H,
Georgia Street ATM,2016-03-14,135,454700,MONDAY,W,
Main Street ATM,2016-03-14,64,257100,MONDAY,W,
Genesee Street ATM,2016-03-14,53,214500,MONDAY,W,
Hollywood Aveneue ATM,2016-03-14,156,969100,MONDAY,W,
Kingsley Street ATM,2016-03-14,153,754200,MONDAY,W,
Georgia Street ATM,2016-03-15,140,580700,TUESDAY,W,
Main Street ATM,2016-03-15,34,210500,TUESDAY,W,
Genesee Street ATM,2016-03-15,33,143700,TUESDAY,W,
Hollywood Aveneue ATM,2016-03-15,116,635200,TUESDAY,W,
Kingsley Street ATM,2016-03-15,127,602200,TUESDAY,W,
Georgia Street ATM,2016-03-16,130,501400,WEDNESDAY,W,
Main Street ATM,2016-03-16,48,317200,WEDNESDAY,W,
Genesee Street ATM,2016-03-16,69,400400,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-03-16,85,599900,WEDNESDAY,W,
Kingsley Street ATM,2016-03-16,121,569800,WEDNESDAY,W,
Georgia Street ATM,2016-03-17,117,398100,THURSDAY,W,
Genesee Street ATM,2016-03-17,109,498900,THURSDAY,W,
Hollywood Aveneue ATM,2016-03-17,107,770500,THURSDAY,W,
Kingsley Street ATM,2016-03-17,140,729700,THURSDAY,W,
Georgia Street ATM,2016-03-18,119,441200,FRIDAY,W,
Genesee Street ATM,2016-03-18,125,608700,FRIDAY,W,
Kingsley Street ATM,2016-03-18,103,462500,FRIDAY,W,
Georgia Street ATM,2016-03-19,101,273000,SATURDAY,H,
Genesee Street ATM,2016-03-19,31,141800,SATURDAY,H,
Hollywood Aveneue ATM,2016-03-19,156,1052100,SATURDAY,H,
Kingsley Street ATM,2016-03-19,125,611800,SATURDAY,H,
Georgia Street ATM,2016-03-20,150,605700,SUNDAY,H,
Main Street ATM,2016-03-20,62,191500,SUNDAY,H,
Genesee Street ATM,2016-03-20,82,221200,SUNDAY,H,
Hollywood Aveneue ATM,2016-03-20,127,497400,SUNDAY,H,
Kingsley Street ATM,2016-03-20,107,308500,SUNDAY,H,
Georgia Street ATM,2016-03-21,134,558400,MONDAY,W,
Main Street ATM,2016-03-21,54,265600,MONDAY,W,
Genesee Street ATM,2016-03-21,86,328800,MONDAY,W,
Hollywood Aveneue ATM,2016-03-21,118,736200,MONDAY,W,
Kingsley Street ATM,2016-03-21,146,740600,MONDAY,W,
Georgia Street ATM,2016-03-22,127,467500,TUESDAY,W,
Main Street ATM,2016-03-22,48,191300,TUESDAY,W,
Genesee Street ATM,2016-03-22,63,267800,TUESDAY,W,
Hollywood Aveneue ATM,2016-03-22,73,489600,TUESDAY,W,
Kingsley Street ATM,2016-03-22,129,650000,TUESDAY,W,
Georgia Street ATM,2016-03-23,143,453900,WEDNESDAY,W,
Main Street ATM,2016-03-23,22,43200,WEDNESDAY,W,
Genesee Street ATM,2016-03-23,71,416000,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-03-23,83,505200,WEDNESDAY,W,
Kingsley Street ATM,2016-03-23,104,505900,WEDNESDAY,W,
Georgia Street ATM,2016-03-24,26,53800,THURSDAY,W,
Genesee Street ATM,2016-03-24,50,240200,THURSDAY,W,
Hollywood Aveneue ATM,2016-03-24,107,761000,THURSDAY,W,
Kingsley Street ATM,2016-03-24,117,675900,THURSDAY,W,
Georgia Street ATM,2016-03-25,99,222900,FRIDAY,H,
Hollywood Aveneue ATM,2016-03-25,179,889900,FRIDAY,H,
Kingsley Street ATM,2016-03-25,26,103100,FRIDAY,H,
Georgia Street ATM,2016-03-26,124,384700,SATURDAY,H,
Genesee Street ATM,2016-03-26,35,124800,SATURDAY,H,
Hollywood Aveneue ATM,2016-03-26,18,50500,SATURDAY,H,
Georgia Street ATM,2016-03-27,105,240300,SUNDAY,H,
Genesee Street ATM,2016-03-27,13,96700,SUNDAY,H,
Georgia Street ATM,2016-03-28,55,173100,MONDAY,W,
Main Street ATM,2016-03-28,19,83100,MONDAY,W,
Genesee Street ATM,2016-03-28,36,330000,MONDAY,W,
Hollywood Aveneue ATM,2016-03-28,154,975500,MONDAY,W,
Kingsley Street ATM,2016-03-28,137,592600,MONDAY,W,
Main Street ATM,2016-03-29,40,103000,TUESDAY,W,
Genesee Street ATM,2016-03-29,48,191400,TUESDAY,W,
Hollywood Aveneue ATM,2016-03-29,178,1191000,TUESDAY,W,
Kingsley Street ATM,2016-03-29,109,424900,TUESDAY,W,
Georgia Street ATM,2016-03-30,38,82200,WEDNESDAY,W,
Main Street ATM,2016-03-30,45,229800,WEDNESDAY,W,
Genesee Street ATM,2016-03-30,79,380400,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-03-30,107,715100,WEDNESDAY,W,
Kingsley Street ATM,2016-03-30,134,713100,WEDNESDAY,W,
Georgia Street ATM,2016-03-31,105,427400,THURSDAY,W,
Main Street ATM,2016-03-31,45,237100,THURSDAY,W,
Genesee Street ATM,2016-03-31,94,690000,THURSDAY,W,
Hollywood Aveneue ATM,2016-03-31,3,1000,THURSDAY,W,
Kingsley Street ATM,2016-03-31,142,662700,THURSDAY,W,
Main Street ATM,2016-04-01,69,295000,FRIDAY,W,
Genesee Street ATM,2016-04-01,19,104900,FRIDAY,W,
Hollywood Aveneue ATM,2016-04-01,157,822200,FRIDAY,W,
Kingsley Street ATM,2016-04-01,69,294100,FRIDAY,W,
Georgia Street ATM,2016-04-02,35,129900,SATURDAY,H,
Main Street ATM,2016-04-02,63,296700,SATURDAY,H,
Genesee Street ATM,2016-04-02,22,79600,SATURDAY,H,
Hollywood Aveneue ATM,2016-04-02,117,587700,SATURDAY,H,
Kingsley Street ATM,2016-04-02,87,387200,SATURDAY,H,
Georgia Street ATM,2016-04-03,90,391200,SUNDAY,H,
Main Street ATM,2016-04-03,16,57900,SUNDAY,H,
Genesee Street ATM,2016-04-03,46,307200,SUNDAY,H,
Hollywood Aveneue ATM,2016-04-03,158,816000,SUNDAY,H,
Kingsley Street ATM,2016-04-03,164,638600,SUNDAY,H,
Georgia Street ATM,2016-04-04,111,480600,MONDAY,W,
Main Street ATM,2016-04-04,47,240100,MONDAY,W,
Genesee Street ATM,2016-04-04,35,288400,MONDAY,W,
Hollywood Aveneue ATM,2016-04-04,36,125100,MONDAY,W,
Kingsley Street ATM,2016-04-04,180,982000,MONDAY,W,
Georgia Street ATM,2016-04-05,121,487100,TUESDAY,W,
Main Street ATM,2016-04-05,84,517100,TUESDAY,W,
Genesee Street ATM,2016-04-05,39,182800,TUESDAY,W,
Hollywood Aveneue ATM,2016-04-05,123,875100,TUESDAY,W,
Kingsley Street ATM,2016-04-05,132,591300,TUESDAY,W,
Georgia Street ATM,2016-04-06,134,574500,WEDNESDAY,W,
Main Street ATM,2016-04-06,34,200900,WEDNESDAY,W,
Genesee Street ATM,2016-04-06,81,499600,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-04-06,65,278700,WEDNESDAY,W,
Kingsley Street ATM,2016-04-06,222,1262600,WEDNESDAY,W,
Georgia Street ATM,2016-04-07,122,421300,THURSDAY,W,
Main Street ATM,2016-04-07,69,313600,THURSDAY,W,
Genesee Street ATM,2016-04-07,42,243800,THURSDAY,W,
Hollywood Aveneue ATM,2016-04-07,77,540100,THURSDAY,W,
Kingsley Street ATM,2016-04-07,104,455200,THURSDAY,W,
Georgia Street ATM,2016-04-08,10,10700,FRIDAY,H,
Genesee Street ATM,2016-04-08,37,120200,FRIDAY,H,
Hollywood Aveneue ATM,2016-04-08,150,898800,FRIDAY,H,
Georgia Street ATM,2016-04-09,104,399900,SATURDAY,H,
Main Street ATM,2016-04-09,170,736400,SATURDAY,H,
Genesee Street ATM,2016-04-09,132,856100,SATURDAY,H,
Hollywood Aveneue ATM,2016-04-09,97,682000,SATURDAY,H,
Georgia Street ATM,2016-04-10,79,217500,SUNDAY,H,
Main Street ATM,2016-04-10,226,694900,SUNDAY,H,
Genesee Street ATM,2016-04-10,46,281700,SUNDAY,H,
Hollywood Aveneue ATM,2016-04-10,120,566900,SUNDAY,H,
Georgia Street ATM,2016-04-11,150,472600,MONDAY,W,
Main Street ATM,2016-04-11,114,409400,MONDAY,W,
Genesee Street ATM,2016-04-11,39,177700,MONDAY,W,
Hollywood Aveneue ATM,2016-04-11,17,145200,MONDAY,W,
Kingsley Street ATM,2016-04-11,182,827600,MONDAY,W,
Georgia Street ATM,2016-04-12,163,632300,TUESDAY,W,
Main Street ATM,2016-04-12,47,179700,TUESDAY,W,
Genesee Street ATM,2016-04-12,51,332100,TUESDAY,W,
Hollywood Aveneue ATM,2016-04-12,60,350500,TUESDAY,W,
Kingsley Street ATM,2016-04-12,151,773100,TUESDAY,W,
Georgia Street ATM,2016-04-13,142,654800,WEDNESDAY,W,
Main Street ATM,2016-04-13,29,89900,WEDNESDAY,W,
Genesee Street ATM,2016-04-13,71,475800,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-04-13,132,782100,WEDNESDAY,W,
Kingsley Street ATM,2016-04-13,185,1005600,WEDNESDAY,W,
Georgia Street ATM,2016-04-14,45,144600,THURSDAY,H,
Hollywood Aveneue ATM,2016-04-14,31,169500,THURSDAY,H,
Kingsley Street ATM,2016-04-14,147,348300,THURSDAY,H,
Main Street ATM,2016-04-15,14,60000,FRIDAY,W,
Genesee Street ATM,2016-04-15,16,96800,FRIDAY,W,
Hollywood Aveneue ATM,2016-04-15,268,1474500,FRIDAY,W,
Kingsley Street ATM,2016-04-15,186,905000,FRIDAY,W,
Georgia Street ATM,2016-04-16,112,452700,SATURDAY,H,
Main Street ATM,2016-04-16,30,61700,SATURDAY,H,
Genesee Street ATM,2016-04-16,62,405900,SATURDAY,H,
Hollywood Aveneue ATM,2016-04-16,147,865000,SATURDAY,H,
Kingsley Street ATM,2016-04-16,161,882500,SATURDAY,H,
Georgia Street ATM,2016-04-17,118,376800,SUNDAY,H,
Genesee Street ATM,2016-04-17,69,302400,SUNDAY,H,
Hollywood Aveneue ATM,2016-04-17,100,349300,SUNDAY,H,
Kingsley Street ATM,2016-04-17,4,900,SUNDAY,H,
Georgia Street ATM,2016-04-18,152,643300,MONDAY,W,
Main Street ATM,2016-04-18,16,60000,MONDAY,W,
Genesee Street ATM,2016-04-18,63,441700,MONDAY,W,
Hollywood Aveneue ATM,2016-04-18,96,588400,MONDAY,W,
Kingsley Street ATM,2016-04-18,99,351700,MONDAY,W,
Georgia Street ATM,2016-04-19,140,516400,TUESDAY,H,
Genesee Street ATM,2016-04-19,50,405200,TUESDAY,H,
Hollywood Aveneue ATM,2016-04-19,60,329400,TUESDAY,H,
Kingsley Street ATM,2016-04-19,100,529200,TUESDAY,H,
Georgia Street ATM,2016-04-20,133,442300,WEDNESDAY,W,
Main Street ATM,2016-04-20,27,60000,WEDNESDAY,W,
Genesee Street ATM,2016-04-20,27,203400,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-04-20,130,835800,WEDNESDAY,W,
Kingsley Street ATM,2016-04-20,149,629900,WEDNESDAY,W,
Georgia Street ATM,2016-04-21,99,276400,THURSDAY,W,
Main Street ATM,2016-04-21,18,43500,THURSDAY,W,
Hollywood Aveneue ATM,2016-04-21,187,1110000,THURSDAY,W,
Kingsley Street ATM,2016-04-21,12,63200,THURSDAY,W,
Georgia Street ATM,2016-04-22,134,547900,FRIDAY,W,
Main Street ATM,2016-04-22,21,181300,FRIDAY,W,
Hollywood Aveneue ATM,2016-04-22,77,459000,FRIDAY,W,
Kingsley Street ATM,2016-04-22,89,451100,FRIDAY,W,
Georgia Street ATM,2016-04-23,132,448100,SATURDAY,H,
Main Street ATM,2016-04-23,76,304100,SATURDAY,H,
Hollywood Aveneue ATM,2016-04-23,110,559000,SATURDAY,H,
Kingsley Street ATM,2016-04-23,119,710700,SATURDAY,H,
Georgia Street ATM,2016-04-24,23,75200,SUNDAY,H,
Main Street ATM,2016-04-24,13,35000,SUNDAY,H,
Kingsley Street ATM,2016-04-24,93,318000,SUNDAY,H,
Georgia Street ATM,2016-04-25,49,236100,MONDAY,W,
Genesee Street ATM,2016-04-25,31,140700,MONDAY,W,
Hollywood Aveneue ATM,2016-04-25,81,549900,MONDAY,W,
Kingsley Street ATM,2016-04-25,108,533900,MONDAY,W,
Georgia Street ATM,2016-04-26,125,438700,TUESDAY,W,
Genesee Street ATM,2016-04-26,28,238400,TUESDAY,W,
Hollywood Aveneue ATM,2016-04-26,198,1030800,TUESDAY,W,
Kingsley Street ATM,2016-04-26,102,470600,TUESDAY,W,
Georgia Street ATM,2016-04-27,133,381400,WEDNESDAY,W,
Main Street ATM,2016-04-27,26,135500,WEDNESDAY,W,
Genesee Street ATM,2016-04-27,27,155900,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-04-27,131,838800,WEDNESDAY,W,
Kingsley Street ATM,2016-04-27,103,446800,WEDNESDAY,W,
Georgia Street ATM,2016-04-28,100,305200,THURSDAY,W,
Main Street ATM,2016-04-28,43,114200,THURSDAY,W,
Genesee Street ATM,2016-04-28,69,425600,THURSDAY,W,
Hollywood Aveneue ATM,2016-04-28,98,495200,THURSDAY,W,
Kingsley Street ATM,2016-04-28,86,328000,THURSDAY,W,
Georgia Street ATM,2016-04-29,101,306300,FRIDAY,W,
Main Street ATM,2016-04-29,6,33500,FRIDAY,W,
Genesee Street ATM,2016-04-29,35,233700,FRIDAY,W,
Hollywood Aveneue ATM,2016-04-29,158,886600,FRIDAY,W,
Kingsley Street ATM,2016-04-29,142,772700,FRIDAY,W,
Georgia Street ATM,2016-04-30,135,494000,SATURDAY,H,
Genesee Street ATM,2016-04-30,38,284700,SATURDAY,H,
Hollywood Aveneue ATM,2016-04-30,143,803400,SATURDAY,H,
Kingsley Street ATM,2016-04-30,175,1062700,SATURDAY,H,
Hollywood Aveneue ATM,2016-05-01,56,187700,SUNDAY,H,
Kingsley Street ATM,2016-05-01,10,23700,SUNDAY,H,
Georgia Street ATM,2016-05-02,96,395500,MONDAY,W,
Genesee Street ATM,2016-05-02,21,137800,MONDAY,W,
Hollywood Aveneue ATM,2016-05-02,167,1145800,MONDAY,W,
Kingsley Street ATM,2016-05-02,138,673900,MONDAY,W,
Georgia Street ATM,2016-05-03,102,340400,TUESDAY,W,
Genesee Street ATM,2016-05-03,9,46800,TUESDAY,W,
Hollywood Aveneue ATM,2016-05-03,119,738700,TUESDAY,W,
Kingsley Street ATM,2016-05-03,121,626200,TUESDAY,W,
Georgia Street ATM,2016-05-04,80,312600,WEDNESDAY,W,
Main Street ATM,2016-05-04,18,42500,WEDNESDAY,W,
Genesee Street ATM,2016-05-04,53,281800,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-05-04,181,1205400,WEDNESDAY,W,
Kingsley Street ATM,2016-05-04,129,672300,WEDNESDAY,W,
Georgia Street ATM,2016-05-05,53,212700,THURSDAY,W,
Genesee Street ATM,2016-05-05,22,164900,THURSDAY,W,
Hollywood Aveneue ATM,2016-05-05,89,706600,THURSDAY,W,
Kingsley Street ATM,2016-05-05,92,521000,THURSDAY,W,
Georgia Street ATM,2016-05-06,68,258800,FRIDAY,W,
Genesee Street ATM,2016-05-06,12,69300,FRIDAY,W,
Hollywood Aveneue ATM,2016-05-06,143,853400,FRIDAY,W,
Kingsley Street ATM,2016-05-06,141,633800,FRIDAY,W,
Georgia Street ATM,2016-05-07,87,294300,SATURDAY,H,
Genesee Street ATM,2016-05-07,115,626400,SATURDAY,H,
Hollywood Aveneue ATM,2016-05-07,50,202100,SATURDAY,H,
Kingsley Street ATM,2016-05-07,155,865900,SATURDAY,H,
Georgia Street ATM,2016-05-08,148,458600,SUNDAY,H,
Main Street ATM,2016-05-08,18,35500,SUNDAY,H,
Genesee Street ATM,2016-05-08,87,432900,SUNDAY,H,
Hollywood Aveneue ATM,2016-05-08,2,20400,SUNDAY,H,
Kingsley Street ATM,2016-05-08,4,4500,SUNDAY,H,
Georgia Street ATM,2016-05-09,149,602200,MONDAY,W,
Main Street ATM,2016-05-09,35,141400,MONDAY,W,
Genesee Street ATM,2016-05-09,69,411700,MONDAY,W,
Hollywood Aveneue ATM,2016-05-09,63,319700,MONDAY,W,
Kingsley Street ATM,2016-05-09,96,485000,MONDAY,W,
Georgia Street ATM,2016-05-10,150,630200,TUESDAY,W,
Main Street ATM,2016-05-10,3,3800,TUESDAY,W,
Genesee Street ATM,2016-05-10,40,228600,TUESDAY,W,
Hollywood Aveneue ATM,2016-05-10,95,591500,TUESDAY,W,
Kingsley Street ATM,2016-05-10,200,934600,TUESDAY,W,
Georgia Street ATM,2016-05-11,100,420600,WEDNESDAY,W,
Main Street ATM,2016-05-11,56,251700,WEDNESDAY,W,
Genesee Street ATM,2016-05-11,67,365900,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-05-11,73,422800,WEDNESDAY,W,
Kingsley Street ATM,2016-05-11,187,867800,WEDNESDAY,W,
Georgia Street ATM,2016-05-12,113,319200,THURSDAY,W,
Main Street ATM,2016-05-12,5,1900,THURSDAY,W,
Genesee Street ATM,2016-05-12,68,322400,THURSDAY,W,
Hollywood Aveneue ATM,2016-05-12,32,189400,THURSDAY,W,
Kingsley Street ATM,2016-05-12,151,600500,THURSDAY,W,
Georgia Street ATM,2016-05-13,106,350300,FRIDAY,W,
Main Street ATM,2016-05-13,26,94600,FRIDAY,W,
Genesee Street ATM,2016-05-13,34,184600,FRIDAY,W,
Hollywood Aveneue ATM,2016-05-13,52,262000,FRIDAY,W,
Kingsley Street ATM,2016-05-13,152,602200,FRIDAY,W,
Georgia Street ATM,2016-05-14,110,426100,SATURDAY,H,
Main Street ATM,2016-05-14,23,81600,SATURDAY,H,
Genesee Street ATM,2016-05-14,14,80300,SATURDAY,H,
Hollywood Aveneue ATM,2016-05-14,67,409800,SATURDAY,H,
Kingsley Street ATM,2016-05-14,90,388300,SATURDAY,H,
Georgia Street ATM,2016-05-15,86,243900,SUNDAY,H,
Hollywood Aveneue ATM,2016-05-15,151,601500,SUNDAY,H,
Georgia Street ATM,2016-05-16,124,439100,MONDAY,W,
Hollywood Aveneue ATM,2016-05-16,134,546000,MONDAY,W,
Georgia Street ATM,2016-05-17,124,452900,TUESDAY,W,
Genesee Street ATM,2016-05-17,8,51700,TUESDAY,W,
Hollywood Aveneue ATM,2016-05-17,130,603100,TUESDAY,W,
Kingsley Street ATM,2016-05-17,93,374800,TUESDAY,W,
Georgia Street ATM,2016-05-18,100,376700,WEDNESDAY,W,
Main Street ATM,2016-05-18,18,18600,WEDNESDAY,W,
Genesee Street ATM,2016-05-18,35,218300,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-05-18,143,888300,WEDNESDAY,W,
Kingsley Street ATM,2016-05-18,134,553800,WEDNESDAY,W,
Georgia Street ATM,2016-05-19,129,413500,THURSDAY,W,
Main Street ATM,2016-05-19,2,1200,THURSDAY,W,
Genesee Street ATM,2016-05-19,13,83800,THURSDAY,W,
Hollywood Aveneue ATM,2016-05-19,69,210100,THURSDAY,W,
Kingsley Street ATM,2016-05-19,124,652900,THURSDAY,W,
Georgia Street ATM,2016-05-20,154,597600,FRIDAY,W,
Main Street ATM,2016-05-20,22,55600,FRIDAY,W,
Genesee Street ATM,2016-05-20,28,115300,FRIDAY,W,
Hollywood Aveneue ATM,2016-05-20,99,599700,FRIDAY,W,
Kingsley Street ATM,2016-05-20,144,607800,FRIDAY,W,
Main Street ATM,2016-05-21,8,5900,SATURDAY,H,
Genesee Street ATM,2016-05-21,38,198200,SATURDAY,H,
Hollywood Aveneue ATM,2016-05-21,137,797600,SATURDAY,H,
Kingsley Street ATM,2016-05-21,164,667700,SATURDAY,H,
Georgia Street ATM,2016-05-22,51,209700,SUNDAY,H,
Main Street ATM,2016-05-22,1,1000,SUNDAY,H,
Genesee Street ATM,2016-05-22,15,90500,SUNDAY,H,
Hollywood Aveneue ATM,2016-05-22,106,421300,SUNDAY,H,
Kingsley Street ATM,2016-05-22,53,225800,SUNDAY,H,
Georgia Street ATM,2016-05-23,89,342000,MONDAY,W,
Main Street ATM,2016-05-23,36,87500,MONDAY,W,
Hollywood Aveneue ATM,2016-05-23,121,793400,MONDAY,W,
Kingsley Street ATM,2016-05-23,48,207900,MONDAY,W,
Georgia Street ATM,2016-05-24,85,475200,TUESDAY,W,
Main Street ATM,2016-05-24,75,304000,TUESDAY,W,
Hollywood Aveneue ATM,2016-05-24,132,613600,TUESDAY,W,
Kingsley Street ATM,2016-05-24,12,61600,TUESDAY,W,
Georgia Street ATM,2016-05-25,127,456400,WEDNESDAY,W,
Main Street ATM,2016-05-25,46,256500,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-05-25,110,794100,WEDNESDAY,W,
Kingsley Street ATM,2016-05-25,64,295400,WEDNESDAY,W,
Georgia Street ATM,2016-05-26,118,337600,THURSDAY,W,
Main Street ATM,2016-05-26,36,172500,THURSDAY,W,
Hollywood Aveneue ATM,2016-05-26,155,1034500,THURSDAY,W,
Kingsley Street ATM,2016-05-26,105,567800,THURSDAY,W,
Georgia Street ATM,2016-05-27,86,321300,FRIDAY,W,
Main Street ATM,2016-05-27,47,185500,FRIDAY,W,
Hollywood Aveneue ATM,2016-05-27,77,484500,FRIDAY,W,
Kingsley Street ATM,2016-05-27,101,494200,FRIDAY,W,
Georgia Street ATM,2016-05-28,79,294200,SATURDAY,H,
Hollywood Aveneue ATM,2016-05-28,137,796800,SATURDAY,H,
Kingsley Street ATM,2016-05-28,100,416800,SATURDAY,H,
Georgia Street ATM,2016-05-29,125,485800,SUNDAY,H,
Hollywood Aveneue ATM,2016-05-29,90,435800,SUNDAY,H,
Georgia Street ATM,2016-05-30,107,434900,MONDAY,W,
Genesee Street ATM,2016-05-30,18,80500,MONDAY,W,
Hollywood Aveneue ATM,2016-05-30,96,652300,MONDAY,W,
Kingsley Street ATM,2016-05-30,124,669500,MONDAY,W,
Georgia Street ATM,2016-05-31,142,555000,TUESDAY,W,
Hollywood Aveneue ATM,2016-05-31,16,29600,TUESDAY,W,
Kingsley Street ATM,2016-05-31,158,811000,TUESDAY,W,
Georgia Street ATM,2016-06-01,171,796800,WEDNESDAY,W,
Main Street ATM,2016-06-01,15,105100,WEDNESDAY,W,
Hollywood Aveneue ATM,2016-06-01,174,835900,WEDNESDAY,W,
Kingsley Street ATM,2016-06-01,173,999100,WEDNESDAY,W,
Georgia Street ATM,2016-06-02,157,728200,THURSDAY,W,
Main Street ATM,2016-06-02,82,558800,THURSDAY,W,
Hollywood Aveneue ATM,2016-06-02,67,294200,THURSDAY,W,
Kingsley Street ATM,2016-06-02,198,1214200,THURSDAY,W,
Georgia Street ATM,2016-06-03,167,562800,FRIDAY,W,
Main Street ATM,2016-06-03,1,3500,FRIDAY,W,
Genesee Street ATM,2016-06-03,3,2600,FRIDAY,W,
Hollywood Aveneue ATM,2016-06-03,63,280000,FRIDAY,W,
Kingsley Street ATM,2016-06-03,98,501800,FRIDAY,W,
Georgia Street ATM,2016-06-04,160,661600,SATURDAY,H,
Main Street ATM,2016-06-04,19,145500,SATURDAY,H,
Hollywood Aveneue ATM,2016-06-04,110,508000,SATURDAY,H,
Kingsley Street ATM,2016-06-04,130,754300,SATURDAY,H,
Georgia Street ATM,2016-06-05,173,670700,SUNDAY,H,
Main Street ATM,2016-06-05,11,60600,SUNDAY,H,
Hollywood Aveneue ATM,2016-06-05,126,644500,SUNDAY,H,
Kingsley Street ATM,2016-06-05,165,644500,SUNDAY,H,
Georgia Street ATM,2016-06-06,150,627500,MONDAY,W,
Main Street ATM,2016-06-06,2,700,MONDAY,W,
Genesee Street ATM,2016-06-06,4,21900,MONDAY,W,
Hollywood Aveneue ATM,2016-06-06,132,848900,MONDAY,W,
Kingsley Street ATM,2016-06-06,48,193100,MONDAY,W,
Georgia Street ATM,2016-06-07,127,488800,TUESDAY,W,
